 format: day,hour,value location:61_128 Start : 20191001 
 10, 1000, 73.000000 
 10, 1100, 76.000000 
 10, 1200, 77.000000 
 10, 1300, 83.000000 
 10, 1400, 80.000000 
 10, 1500, 83.000000 
 10, 1600, 87.000000 
 10, 1700, 91.000000 
 10, 1800, 89.000000 
 10, 1900, 91.000000 
 10, 2000, 93.000000 
 10, 2100, 92.000000 
 10, 2200, 86.000000 
 10, 2300, 78.000000 
 11, 0000, 71.000000 
 11, 0100, 65.000000 
 11, 0200, 59.000000 
 11, 0300, 51.000000 
 11, 0400, 45.000000 
 11, 0500, 42.000000 
 11, 0600, 45.000000 
 11, 0700, 50.000000 
 11, 0800, 55.000000 
 11, 0900, 59.000000 
 11, 1000, 61.000000 
 11, 1100, 59.000000 
 11, 1200, 61.000000 
 11, 1300, 65.000000 
 11, 1400, 65.000000 
 11, 1500, 65.000000 
 11, 1600, 69.000000 
 11, 1700, 64.000000 
 11, 1800, 63.000000 
 11, 1900, 68.000000 
 11, 2000, 66.000000 
 11, 2100, 64.000000 
 11, 2200, 56.000000 
 11, 2300, 54.000000 
 12, 0000, 45.000000 
 12, 0100, 43.000000 
 12, 0200, 42.000000 
 12, 0300, 43.000000 
 12, 0400, 44.000000 
 12, 0500, 46.000000 
 12, 0600, 46.000000 
 12, 0700, 48.000000 
 12, 0800, 52.000000 
 12, 0900, 53.000000 
 12, 1000, 54.000000 
 12, 1100, 55.000000 
 12, 1200, 59.000000 
 12, 1300, 63.000000 
 12, 1400, 68.000000 
 12, 1500, 68.000000 
 12, 1600, 71.000000 
 12, 1700, 76.000000 
 12, 1800, 77.000000 
 12, 1900, 79.000000 
 12, 2000, 79.000000 
 12, 2100, 76.000000 
 12, 2200, 69.000000 
 12, 2300, 60.000000 
 13, 0000, 55.000000 
 13, 0100, 50.000000 
 13, 0200, 49.000000 
 13, 0300, 47.000000 
 13, 0400, 43.000000 
 13, 0500, 42.000000 
 13, 0600, 42.000000 
 13, 0700, 47.000000 
 13, 0800, 58.000000 
 13, 0900, 62.000000 
 13, 1000, 65.000000 
 13, 1100, 65.000000 
 13, 1200, 71.000000 
 13, 1300, 74.000000 
 13, 1400, 75.000000 
 13, 1500, 80.000000 
 13, 1600, 82.000000 
 13, 1700, 86.000000 
 13, 1800, 88.000000 
 13, 1900, 87.000000 
 13, 2000, 89.000000 
 13, 2100, 89.000000 
 13, 2200, 82.000000 
 13, 2300, 77.000000 
 14, 0000, 73.000000 
 14, 0100, 65.000000 
 14, 0200, 54.000000 
 14, 0300, 52.000000 
 14, 0400, 46.000000 
 14, 0500, 32.000000 
 14, 0600, 39.000000 
 14, 0700, 43.000000 
 14, 0800, 45.000000 
 14, 0900, 46.000000 
 14, 1000, 46.000000 
 14, 1100, 43.000000 
 14, 1200, 43.000000 
 14, 1300, 44.000000 
 14, 1400, 51.000000 
 14, 1500, 55.000000 
 14, 1600, 54.000000 
 14, 1700, 55.000000 
 14, 1800, 57.000000 
 14, 1900, 61.000000 
 14, 2000, 69.000000 
 14, 2100, 73.000000 
 14, 2200, 63.000000 
 14, 2300, 58.000000 
 15, 0000, 55.000000 
 15, 0100, 53.000000 
 15, 0200, 51.000000 
 15, 0300, 51.000000 
 15, 0400, 45.000000 
 15, 0500, 49.000000 
 15, 0600, 51.000000 
 15, 0700, 52.000000 
 15, 0800, 62.000000 
 15, 0900, 62.000000 
 15, 1000, 63.000000 
 15, 1100, 68.000000 
 15, 1200, 71.000000 
 15, 1300, 74.000000 
 15, 1400, 78.000000 
 15, 1500, 80.000000 
 15, 1600, 82.000000 
 15, 1700, 83.000000 
 15, 1800, 86.000000 
 15, 1900, 88.000000 
 15, 2000, 89.000000 
 15, 2100, 90.000000 
 15, 2200, 83.000000 
 15, 2300, 71.000000 
 16, 0000, 67.000000 
 16, 0100, 57.000000 
 16, 0200, 52.000000 
 16, 0300, 48.000000 
 16, 0400, 46.000000 
 16, 0500, 43.000000 
 16, 0600, 46.000000 
 16, 0700, 47.000000 
 16, 0800, 48.000000 
 16, 0900, 51.000000 
 16, 1000, 55.000000 
 16, 1100, 61.000000 
 16, 1200, 64.000000 
 16, 1300, 66.000000 
 16, 1400, 70.000000 
 16, 1500, 71.000000 
 16, 1600, 76.000000 
 16, 1700, 73.000000 
 16, 1800, 71.000000 
 16, 1900, 72.000000 
 16, 2000, 79.000000 
 16, 2100, 80.000000 
 16, 2200, 80.000000 
 16, 2300, 70.000000 
 17, 0000, 64.000000 
 17, 0100, 53.000000 
 17, 0200, 49.000000 
 17, 0300, 47.000000 
