 format: day,hour,value location:61_128 Start : 20191001 
 10, 1000, 333.000000 
 10, 1100, 5.000000 
 10, 1200, 317.000000 
 10, 1300, 340.000000 
 10, 1400, 305.000000 
 10, 1500, 346.000000 
 10, 1600, 358.000000 
 10, 1700, 5.000000 
 10, 1800, 316.000000 
 10, 1900, 305.000000 
 10, 2000, 321.000000 
 10, 2100, 22.000000 
 10, 2200, 327.000000 
 10, 2300, 35.000000 
 11, 0000, 45.000000 
 11, 0100, 319.000000 
 11, 0200, 30.000000 
 11, 0300, 321.000000 
 11, 0400, 354.000000 
 11, 0500, 32.000000 
 11, 0600, 9.000000 
 11, 0700, 7.000000 
 11, 0800, 19.000000 
 11, 0900, 341.000000 
 11, 1000, 346.000000 
 11, 1100, 26.000000 
 11, 1200, 358.000000 
 11, 1300, 14.000000 
 11, 1400, 6.000000 
 11, 1500, 7.000000 
 11, 1600, 350.000000 
 11, 1700, 6.000000 
 11, 1800, 5.000000 
 11, 1900, 1.000000 
 11, 2000, 19.000000 
 11, 2100, 17.000000 
 11, 2200, 11.000000 
 11, 2300, 19.000000 
 12, 0000, 66.000000 
 12, 0100, 62.000000 
 12, 0200, 53.000000 
 12, 0300, 49.000000 
 12, 0400, 55.000000 
 12, 0500, 46.000000 
 12, 0600, 50.000000 
 12, 0700, 61.000000 
 12, 0800, 72.000000 
 12, 0900, 73.000000 
 12, 1000, 56.000000 
 12, 1100, 54.000000 
 12, 1200, 349.000000 
 12, 1300, 348.000000 
 12, 1400, 311.000000 
 12, 1500, 347.000000 
 12, 1600, 322.000000 
 12, 1700, 346.000000 
 12, 1800, 13.000000 
 12, 1900, 358.000000 
 12, 2000, 13.000000 
 12, 2100, 10.000000 
 12, 2200, 4.000000 
 12, 2300, 0.000000 
 13, 0000, 38.000000 
 13, 0100, 94.000000 
 13, 0200, 170.000000 
 13, 0300, 157.000000 
 13, 0400, 119.000000 
 13, 0500, 181.000000 
 13, 0600, 85.000000 
 13, 0700, 226.000000 
 13, 0800, 331.000000 
 13, 0900, 321.000000 
 13, 1000, 324.000000 
 13, 1100, 326.000000 
 13, 1200, 319.000000 
 13, 1300, 346.000000 
 13, 1400, 2.000000 
 13, 1500, 329.000000 
 13, 1600, 333.000000 
 13, 1700, 346.000000 
 13, 1800, 356.000000 
 13, 1900, 34.000000 
 13, 2000, 341.000000 
 13, 2100, 338.000000 
 13, 2200, 319.000000 
 13, 2300, 30.000000 
 14, 0000, 31.000000 
 14, 0100, 292.000000 
 14, 0200, 304.000000 
 14, 0300, 294.000000 
 14, 0400, 301.000000 
 14, 0500, 294.000000 
 14, 0600, 299.000000 
 14, 0700, 283.000000 
 14, 0800, 300.000000 
 14, 0900, 312.000000 
 14, 1000, 340.000000 
 14, 1100, 340.000000 
 14, 1200, 21.000000 
 14, 1300, 35.000000 
 14, 1400, 9.000000 
 14, 1500, 358.000000 
 14, 1600, 7.000000 
 14, 1700, 3.000000 
 14, 1800, 25.000000 
 14, 1900, 345.000000 
 14, 2000, 331.000000 
 14, 2100, 342.000000 
 14, 2200, 286.000000 
 14, 2300, 97.000000 
 15, 0000, 115.000000 
 15, 0100, 121.000000 
 15, 0200, 94.000000 
 15, 0300, 182.000000 
 15, 0400, 228.000000 
 15, 0500, 48.000000 
 15, 0600, 18.000000 
 15, 0700, 323.000000 
 15, 0800, 337.000000 
 15, 0900, 341.000000 
 15, 1000, 335.000000 
 15, 1100, 308.000000 
 15, 1200, 327.000000 
 15, 1300, 13.000000 
 15, 1400, 333.000000 
 15, 1500, 329.000000 
 15, 1600, 316.000000 
 15, 1700, 326.000000 
 15, 1800, 326.000000 
 15, 1900, 24.000000 
 15, 2000, 352.000000 
 15, 2100, 0.000000 
 15, 2200, 358.000000 
 15, 2300, 38.000000 
 16, 0000, 270.000000 
 16, 0100, 90.000000 
 16, 0200, 351.000000 
 16, 0300, 355.000000 
 16, 0400, 290.000000 
 16, 0500, 306.000000 
 16, 0600, 341.000000 
 16, 0700, 338.000000 
 16, 0800, 320.000000 
 16, 0900, 18.000000 
 16, 1000, 312.000000 
 16, 1100, 9.000000 
 16, 1200, 28.000000 
 16, 1300, 301.000000 
 16, 1400, 319.000000 
 16, 1500, 46.000000 
 16, 1600, 356.000000 
 16, 1700, 290.000000 
 16, 1800, 342.000000 
 16, 1900, 325.000000 
 16, 2000, 14.000000 
 16, 2100, 31.000000 
 16, 2200, 14.000000 
 16, 2300, 54.000000 
 17, 0000, 311.000000 
 17, 0100, 195.000000 
 17, 0200, 120.000000 
 17, 0300, 191.000000 
 17, 0400, 153.000000 
 17, 0500, 111.000000 
 17, 0600, 136.000000 
 17, 0700, 104.000000 
 17, 0800, 279.000000 
 17, 0900, 322.000000 
 17, 1000, 331.000000 
 17, 1100, 319.000000 
 17, 1200, 8.000000 
 17, 1300, 318.000000 
 17, 1400, 356.000000 
 17, 1500, 301.000000 
 17, 1600, 329.000000 
 17, 1700, 28.000000 
 17, 1800, 30.000000 
 17, 1900, 3.000000 
 17, 2000, 5.000000 
 17, 2100, 2.000000 
 17, 2200, 311.000000 
 17, 2300, 31.000000 
 18, 0000, 19.000000 
 18, 0100, 354.000000 
 18, 0200, 59.000000 
 18, 0300, 75.000000 
 18, 0400, 124.000000 
 18, 0500, 82.000000 
 18, 0600, 129.000000 
 18, 0700, 71.000000 
 18, 0800, 38.000000 
 18, 0900, 64.000000 
 18, 1000, 24.000000 
 18, 1100, 313.000000 
 18, 1200, 328.000000 
 18, 1300, 281.000000 
 18, 1400, 346.000000 
 18, 1500, 336.000000 
 18, 1600, 28.000000 
 18, 1700, 329.000000 
 18, 1800, 330.000000 
 18, 1900, 6.000000 
 18, 2000, 349.000000 
 18, 2100, 322.000000 
 18, 2200, 63.000000 
 18, 2300, 18.000000 
 19, 0000, 29.000000 
 19, 0100, 351.000000 
 19, 0200, 10.000000 
 19, 0300, 246.000000 
 19, 0400, 302.000000 
 19, 0500, 285.000000 
 19, 0600, 299.000000 
 19, 0700, 278.000000 
 19, 0800, 278.000000 
 19, 0900, 261.000000 
 19, 1000, 355.000000 
 19, 1100, 94.000000 
 19, 1200, 298.000000 
 19, 1300, 313.000000 
 19, 1400, 345.000000 
 19, 1500, 327.000000 
 19, 1600, 317.000000 
 19, 1700, 340.000000 
 19, 1800, 329.000000 
 19, 1900, 46.000000 
 19, 2000, 13.000000 
 19, 2100, 336.000000 
 19, 2200, 350.000000 
 19, 2300, 42.000000 
 20, 0000, 115.000000 
 20, 0100, 140.000000 
 20, 0200, 80.000000 
 20, 0300, 110.000000 
 20, 0400, 196.000000 
 20, 0500, 236.000000 
 20, 0600, 278.000000 
 20, 0700, 315.000000 
 20, 0800, 339.000000 
 20, 0900, 348.000000 
 20, 1000, 5.000000 
 20, 1100, 8.000000 
 20, 1200, 328.000000 
 20, 1300, 351.000000 
 20, 1400, 348.000000 
